season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1979,14,1979-12-02,Bucky Dilts,BAL,NYJ,@,L 17-30,6,215,1
1979,14,1979-12-02,Greg Coleman,MIN,RAM,@,L 21-27 (OT),6,271,1
1979,14,1979-12-02,Bob Grupp,KAN,SEA,,W 37-21,3,116,1
1979,15,1979-12-09,Steve Little,STL,NYG,,W 29-20,3,129,1
1979,16,1979-12-16,Steve Little,STL,CHI,@,L 6-42,8,243,1
1979,16,1979-12-16,Ken Clark,RAM,NOR,,L 14-29,4,169,1
1980,1,1980-09-07,Herman Weaver,SEA,SDG,,L 13-34,6,242,1
1980,2,1980-09-14,Pat McInally,CIN,MIA,@,L 16-17,7,263,1
1980,3,1980-09-21,Frank Corral,RAM,GNB,,W 51-21,5,251,1
1980,4,1980-09-28,George Roberts,MIA,NOR,,W 21-16,5,215,1
1980,5,1980-10-05,Tom Skladany,DET,ATL,@,L 28-43,5,213,1
1980,5,1980-10-05,Rick Partridge,SDG,BUF,,L 24-26,4,179,1
1980,5,1980-10-05,Larry Swider,STL,NOR,@,W 40-7,1,31,1
1980,5,1980-10-05,Bob Grupp,KAN,OAK,@,W 31-17,9,325,1
1980,5,1980-10-05,Greg Cater,BUF,SDG,@,W 26-24,5,199,1
1980,7,1980-10-19,Chuck Ramsey,NYJ,SEA,,L 17-27,3,147,1
1980,9,1980-11-02,Mike Bragg,BAL,KAN,@,W 31-24,5,228,1
1980,9,1980-11-02,Pat McInally,CIN,SDG,,L 14-31,6,225,1
1980,9,1980-11-02,Max Runager,PHI,SEA,@,W 27-20,2,74,1
1980,10,1980-11-09,Tom Blanchard,TAM,PIT,,L 21-24,6,248,1
1980,10,1980-11-09,George Roberts,MIA,RAM,@,W 35-14,3,129,1
1980,11,1980-11-17,Herman Weaver,SEA,OAK,,L 17-19,4,182,1
1980,16,1980-12-21,Mike Bragg,BAL,KAN,,L 28-38,5,195,1
1980,18,1981-01-03,Rick Partridge,SDG,BUF,,W 20-14,3,111,1
1981,4,1981-09-27,Ray Stachowicz,GNB,MIN,,L 13-30,3,128,1
1981,6,1981-10-11,Pat McInally,CIN,BAL,@,W 41-19,3,118,1
1981,7,1981-10-18,Larry Swider,TAM,OAK,@,L 16-18,6,256,1
1981,8,1981-10-25,Steve Cox,CLE,BAL,,W 42-28,2,93,1
1981,8,1981-10-25,John James,ATL,NYG,,L 24-27 (OT),8,328,1
1981,11,1981-11-15,Larry Swider,TAM,DEN,,L 7-24,6,262,1
1981,14,1981-12-03,Steve Cox,CLE,HOU,@,L 13-17,1,34,1
1981,16,1981-12-20,Ray Stachowicz,GNB,NYJ,@,L 3-28,8,308,1
1981,16,1981-12-21,George Roberts,SDG,OAK,,W 23-10,4,127,1
1982,1,1982-09-12,Maury Buford,SDG,DEN,@,W 23-3,3,137,1
1982,2,1982-09-19,Maury Buford,SDG,KAN,@,L 12-19,4,159,1
1982,2,1982-09-19,Larry Swider,TAM,WAS,,L 13-21,5,190,1
1982,11,1982-11-21,Jeff Hayes,WAS,NYG,@,W 27-17,4,164,1
1982,14,1982-12-12,John Misko,RAM,DEN,,L 24-27,6,285,1
1982,16,1982-12-26,Jim Miller,SFO,KAN,@,W 26-13,1,49,1
1982,17,1983-01-02,Chuck Ramsey,NYJ,KAN,@,L 13-37,3,108,1
1982,17,1983-01-02,Steve Cox,CLE,PIT,@,L 21-37,6,215,1
1982,18,1983-01-09,Greg Coleman,MIN,ATL,,W 30-24,4,160,1
1982,20,1983-01-23,Chuck Ramsey,NYJ,MIA,@,L 0-14,9,357,1
1983,1,1983-09-03,Tom Orosz,SFO,PHI,,L 17-22,3,118,1
1983,4,1983-09-25,Mike Black,DET,MIN,@,L 17-20,4,188,1
1983,7,1983-10-16,Chuck Ramsey,NYJ,MIA,,L 14-32,5,199,1
1983,7,1983-10-16,John James,HOU,MIN,@,L 14-34,4,179,1
1983,7,1983-10-16,Reggie Roby,MIA,NYJ,@,W 32-14,6,257,1
1983,7,1983-10-17,Bucky Scribner,GNB,WAS,,W 48-47,1,42,1
1983,10,1983-11-06,John Misko,RAM,CHI,,W 21-14,6,223,1
1983,10,1983-11-06,Frank Garcia,TAM,MIN,@,W 17-12,8,387,1
1983,11,1983-11-13,Danny White,DAL,SDG,@,L 23-24,5,212,1
1983,12,1983-11-20,Ralph Giacomarro,ATL,SFO,,W 28-24,3,117,1
1983,13,1983-11-27,Dave Jennings,NYG,RAI,@,L 12-27,6,272,1
1983,15,1983-12-11,Pat McInally,CIN,DET,,W 17-9,5,220,2
1983,15,1983-12-11,Ray Stachowicz,CHI,MIN,@,W 19-13,4,166,2
1983,20,1984-01-22,Jeff Hayes,WAS,RAI,N,L 9-38,7,259,1
1984,1,1984-09-03,Steve Cox,CLE,SEA,@,L 0-33,7,273,1
1984,4,1984-09-23,Dave Finzer,CHI,SEA,@,L 9-38,6,255,1
1984,5,1984-09-30,Max Runager,SFO,ATL,,W 14-5,5,219,1
1984,5,1984-09-30,Dave Jennings,NYG,RAM,@,L 12-33,6,264,2
1984,7,1984-10-14,John Kidd,BUF,SEA,@,L 28-31,2,69,2
1984,7,1984-10-14,Dave Finzer,CHI,STL,@,L 21-38,3,137,1
1984,8,1984-10-21,Brian Hansen,NOR,DAL,@,L 27-30 (OT),3,136,1
1984,11,1984-11-11,Jeff Hayes,WAS,DET,,W 28-14,7,250,1
1984,14,1984-12-02,Steve Cox,CLE,CIN,,L 17-20 (OT),4,193,1
1984,14,1984-12-02,Dave Jennings,NYG,NYJ,@,W 20-10,4,149,1
1984,14,1984-12-02,Ralph Giacomarro,ATL,SFO,,L 17-35,4,163,1
1984,15,1984-12-08,Chuck Ramsey,NYJ,BUF,,W 21-17,5,206,1
1984,16,1984-12-16,Ralph Giacomarro,ATL,PHI,,W 26-10,2,79,1
1984,16,1984-12-16,Carl Birdsong,STL,WAS,@,L 27-29,4,145,1
1984,18,1984-12-30,Craig Colquitt,PIT,DEN,@,W 24-17,2,85,1
1985,1,1985-09-08,Frank Garcia,TAM,CHI,@,L 28-38,5,221,1
1985,2,1985-09-15,Frank Garcia,TAM,MIN,,L 16-31,1,40,1
1985,2,1985-09-15,Dale Hatcher,RAM,PHI,@,W 17-6,6,221,1
1985,4,1985-09-29,Mike Saxon,DAL,HOU,@,W 17-10,6,266,1
1985,7,1985-10-20,Rohn Stark,IND,BUF,@,L 9-21,7,344,1
1985,8,1985-10-27,Jim Arnold,KAN,DEN,,L 10-30,3,125,2
1985,8,1985-10-27,Carl Birdsong,STL,HOU,,L 10-20,5,177,1
1985,10,1985-11-11,Chris Norman,DEN,SFO,,W 17-16,6,223,1
1985,11,1985-11-17,Carl Birdsong,STL,PHI,,L 14-24,5,177,1
1985,12,1985-11-24,Harry Newsome,PIT,WAS,,L 23-30,3,123,1
1985,12,1985-11-25,Max Runager,SFO,SEA,,W 19-6,6,225,1
1985,13,1985-12-02,Maury Buford,CHI,MIA,@,L 24-38,2,87,1
1985,14,1985-12-08,Pat McInally,CIN,DAL,,W 50-24,2,78,1
1985,16,1985-12-20,Chris Norman,DEN,SEA,@,W 27-24,4,136,1
1985,16,1985-12-22,Rohn Stark,IND,HOU,,W 34-16,6,276,1
1985,18,1986-01-05,Rich Camarillo,NWE,RAI,@,W 27-20,5,225,1
1986,1,1986-09-07,Jeff Hayes,CIN,KAN,@,L 14-24,7,223,1
1986,1,1986-09-07,Harry Newsome,PIT,SEA,@,L 0-30,8,382,1
1986,3,1986-09-18,Jeff Hayes,CIN,CLE,@,W 30-13,1,27,1
1986,3,1986-09-21,Rich Camarillo,NWE,SEA,,L 31-38,6,260,2
1986,4,1986-09-28,Don Bracken,GNB,MIN,@,L 7-42,3,103,1
1986,5,1986-10-05,Mike Black,DET,HOU,,W 24-13,6,253,1
1986,7,1986-10-19,Harry Newsome,PIT,NWE,,L 0-34,7,297,1
1986,8,1986-10-26,Wade Wilson,MIN,CLE,,L 20-23,2,76,1
1986,9,1986-11-02,Greg Cater,STL,PHI,,W 13-10,6,212,1
1986,11,1986-11-16,Ralf Mojsiejenko,SDG,DAL,,L 21-24,4,168,1
1986,11,1986-11-16,Chris Norman,DEN,KAN,,W 38-17,8,300,1
1986,11,1986-11-16,Dale Hatcher,RAM,NWE,,L 28-30,7,229,1
1986,12,1986-11-20,Ralf Mojsiejenko,SDG,RAI,,L 31-37 (OT),2,72,1
1986,12,1986-11-23,Rich Camarillo,NWE,BUF,,W 22-19,9,345,1
1986,12,1986-11-23,Don Bracken,GNB,CHI,@,L 10-12,7,267,1
1986,12,1986-11-23,Maury Buford,CHI,GNB,,W 12-10,5,169,1
1986,12,1986-11-23,John Teltschik,PHI,SEA,@,L 20-24,5,211,1
1986,13,1986-11-27,Jim Arnold,DET,GNB,,L 40-44,4,168,1
1986,13,1986-11-30,Brian Hansen,NOR,NWE,,L 20-21,5,222,1
1986,14,1986-12-07,Rick Donnelly,ATL,IND,,L 23-28,3,95,1
1986,14,1986-12-07,Bill Renner,GNB,MIN,,L 6-32,2,78,1
1986,14,1986-12-07,Max Runager,SFO,NYJ,,W 24-10,4,170,2
1986,15,1986-12-14,Mike Saxon,DAL,PHI,,L 21-23,5,170,1
1986,15,1986-12-14,Bill Renner,GNB,TAM,@,W 21-7,8,334,1
1986,16,1986-12-20,Bill Renner,GNB,NYG,@,L 24-55,5,210,1
1986,16,1986-12-21,Harry Newsome,PIT,KAN,,L 19-24,3,119,1
1986,17,1986-12-28,Dave Jennings,NYJ,KAN,,W 35-15,3,116,1
1987,1,1987-09-14,Bryan Wagner,CHI,NYG,,W 34-19,4,170,1
1987,2,1987-09-20,Stan Talley,RAI,DET,,W 27-7,3,79,1
1987,2,1987-09-20,Jeff Hayes,MIA,IND,@,W 23-10,4,171,1
1987,2,1987-09-20,Greg Coleman,MIN,RAM,@,W 21-16,7,290,1
1987,4,1987-10-04,Craig Colquitt,IND,BUF,@,W 47-6,2,61,1
