season,week,game_date,punter,punting_team_pfr,dst_team_pfr,game_location,result,punt_attempts,punt_yards,punt_blocks
1993,10,1993-11-07,Brian Hansen,CLE,DEN,,L 14-29,4,167,1
1993,12,1993-11-21,Brian Hansen,CLE,HOU,,L 20-27,5,235,1
1993,15,1993-12-12,Mike Saxon,NWE,CIN,,W 7-2,5,216,1
1993,15,1993-12-12,Bryan Barker,KAN,DEN,@,L 21-27,3,145,1
1993,18,1994-01-02,Rick Tuten,SEA,KAN,@,L 24-34,4,202,1
1993,18,1994-01-02,Mike Saxon,NWE,MIA,,W 33-27 (OT),1,34,1
1993,18,1994-01-02,Tom Rouen,DEN,RAI,@,L 30-33 (OT),3,135,1
1993,19,1994-01-08,Mark Royals,PIT,KAN,@,L 24-27 (OT),6,268,1
1994,2,1994-09-11,Mike Horan,NYG,ARI,@,W 20-17,5,153,1
1994,5,1994-10-02,Rohn Stark,IND,SEA,,W 17-15,4,156,1
1994,5,1994-10-02,Greg Montgomery,DET,TAM,@,L 14-24,4,182,1
1994,9,1994-10-30,Lee Johnson,CIN,DAL,,L 20-23,5,253,1
1994,15,1994-12-11,Mike Horan,NYG,CIN,,W 27-20,5,188,1
1995,1,1995-09-03,Craig Hentrich,GNB,STL,,L 14-17,7,342,1
1995,2,1995-09-10,Jeff Gossett,OAK,WAS,@,W 20-8,1,49,1
1995,2,1995-09-11,Craig Hentrich,GNB,CHI,@,W 27-24,1,11,1
1995,3,1995-09-17,Reggie Roby,TAM,CHI,,L 6-25,3,154,1
1995,4,1995-09-25,Mark Royals,DET,SFO,,W 27-24,2,96,1
1995,6,1995-10-08,Mark Royals,DET,CLE,,W 38-20,4,178,1
1995,7,1995-10-15,Brian Hansen,NYJ,CAR,@,L 15-26,7,280,1
1995,11,1995-11-12,Rich Camarillo,HOU,CIN,,L 25-32,4,155,1
1995,12,1995-11-19,Tom Hutton,PHI,NYG,,W 28-19,5,224,1
1995,14,1995-12-03,Tom Rouen,DEN,JAX,,W 31-23,2,87,1
1995,17,1995-12-24,Klaus Wilmsmeyer,NOR,NYJ,@,W 12-0,6,197,1
1995,20,1996-01-14,John Jett,DAL,GNB,,W 38-27,4,183,1
1996,1,1996-09-01,Lee Johnson,CIN,STL,@,L 16-26,2,79,1
1996,2,1996-09-08,Jeff Feagles,ARI,MIA,,L 10-38,5,215,1
1996,6,1996-10-06,Mitch Berger,MIN,CAR,,W 14-12,4,159,1
1996,6,1996-10-06,Greg Montgomery,BAL,NWE,,L 38-46,5,213,1
1996,6,1996-10-06,Tommy Thompson,SFO,STL,@,W 28-11,2,81,1
1996,9,1996-10-27,Tommy Barnhardt,TAM,GNB,@,L 7-13,4,149,1
1996,9,1996-10-27,Mark Royals,DET,NYG,,L 7-35,4,199,1
1996,9,1996-10-28,Mitch Berger,MIN,CHI,,L 13-15,3,125,1
1996,11,1996-11-10,Tom Hutton,PHI,BUF,,L 17-24,3,97,1
1996,12,1996-11-17,Reggie Roby,HOU,MIA,,L 20-23,4,192,1
1996,14,1996-12-02,Tommy Thompson,SFO,ATL,@,W 34-10,2,101,1
1996,17,1996-12-22,Rick Tuten,SEA,OAK,@,W 28-21,9,394,1
1997,2,1997-09-07,John Jett,DET,TAM,,L 17-24,7,349,1
1997,3,1997-09-14,Matt Turk,WAS,ARI,,W 19-13 (OT),7,349,1
1997,3,1997-09-14,Darren Bennett,SDG,CAR,,L 7-26,4,203,1
1997,3,1997-09-14,Tom Tupa,NWE,NYJ,,W 27-24 (OT),5,206,1
1997,5,1997-09-28,Jeff Feagles,ARI,TAM,@,L 18-19,5,226,1
1997,6,1997-10-05,John Jett,DET,BUF,@,L 13-22,5,226,1
